,Frequency
Low,16
mitigation,16
severity,16
infarction,16
Challenges,16
Region,16
optimal,16
disturbances,16
pandemia,16
tool,16
face,16
epidemiological,16
seismic,16
questionnaire,16
higher,16
pollutant,16
During,16
physicians,16
Zimbabwe,16
Significant,16
behavioral,16
hip,16
Colombia,16
they,16
ongoing,16
insight,16
continuous,16
surveillance,16
unlock,16
influenced,16
Students,16
Mathematical,16
onset,16
ADHD,16
long-term,16
benefit,16
sites,16
preterm,16
critical,16
Survey,16
late,16
variables,16
outbreaks,16
aerosols,16
compliance,16
prolonged,16
Shanghai,16
oral,16
Melbourne,16
USA,16
Findings,16
nutritional,15
regarding,15
football,15
attending,15
lifting,15
gain,15
lockdown-induced,15
Madrid,15
Yangtze,15
call,15
profile,15
Iran,15
educational,15
Kerala,15
disabilities,15
intensive,15
important,15
Evaluating,15
screen,15
importance,15
learnt,15
contact,15
coronary,15
preventive,15
groups,15
Trends,15
green,15
ideation,15
better,15
predicts,15
immediate,15
con,15
polluted,15
populations,15
PM10,15
driven,15
function,15
usage,15
single,15
Telemedicine,15
Medical,15
Asian,14
southern,14
outdoor,14
Differential,14
up,14
Spring,14
substance,14
dioxide,14
societal,14
Rapid,14
Anxiety,14
procedures,14
benefits,14
admission,14
York,14
Australian,14
estimation,14
Potential,14
Chile,14
evolution,14
negative,14
individual,14
Perspectives,14
developing,14
Associations,14
We,14
cause,14
opportunity,14
safe,14
reactions,14
will,14
may,14
Covid‐19,14
south,14
partner,14
Comparing,14
di,14
demographic,14
oncology,14
Emotional,14
various,14
internet,14
obesity,14
adverse,14
amidst,14
Children,14
assessing,14
intake,14
been,14
Southern,14
Central,14
Evolution,14
socio-economic,14
masks,14
indicators,14
large-scale,13
Cyprus,13
delayed,13
da,13
elective,13
you,13
mass,13
forecasting,13
pre-lockdown,13
Austrian,13
impacted,13
web-based,13
program,13
great,13
improvement,13
sustainability,13
persons,13
Uganda,13
Quantifying,13
temporal,13
implementation,13
à,13
states,13
capital,13
SIR,13
web,13
heat,13
admitted,13
increases,13
framework,13
down,13
mild,13
years,13
Rome,13
decrease,13
profiles,13
experienced,13
volume,13
Korea,13
time-series,13
lives,13
mathematical,13
density,13
subjective,13
seroprevalence,13
black,13
Consequences,13
consumer,13
3,13
Alcohol,13
decreased,13
long,13
Relationship,13
Resilience,13
Greek,13
electricity,13
international,13
Covid19,13
fine,13
distribution,13
Orthopaedic,13
image,13
million,13
athletes,13
experiencing,13
Managing,13
stock,13
Canada,13
insecurity,13
Gender,12
active,12
sensing,12
Google,12
Optimal,12
Incidence,12
old,12
los,12
sense,12
Parents,12
Lockdown,12
pandemic-related,12
epilepsy,12
Diabetes,12
nitrogen,12
stages,12
very,12
glycaemic,12
leisure,12
factor,12
Improved,12
nation-wide,12
Paediatric,12
Environmental,12
exercise,12
Are,12
motor,12
could,12
while,12
lesson,12
evaluate,12
suicide,12
screening,12
informal,12
team,12
awareness,12
Asia,12
Has,12
methods,12
pandémie,12
Community,12
Israel,12
tropical,12
Do,12
5,12
island,12
citizens,12
part,12
institutional,12
improved,12
2021,12
subsequent,12
Aires,12
Response,12
seen,12
land,12
asymptomatic,12
Basin,12
no,12
Morocco,12
opportunities,12
10,12
fracture,12
upper,12
Buenos,12
interactions,12
men,12
COVID-19-induced,12
relation,12
Internet,12
understanding,12
East,12
uptake,12
routine,12
success,12
utilization,12
site,12
basic,12
Cape,12
O3,12
blood,12
International,11
communities,11
views,11
posttraumatic,11
departments,11
faced,11
emotion,11
maxillofacial,11
application,11
elements,11
heterogeneity,11
way,11
Addressing,11
relevant,11
Child,11
some,11
Section,11
mood,11
musculoskeletal,11
headache,11
viral,11
Self-reported,11
May,11
tropospheric,11
less,11
English,11
--,11
diabetic,11
arthritis,11
concerns,11
hospital-based,11
Comparative,11
mobile,11
features,11
province,11
Eastern,11
specific,11
exploration,11
Remote,11
generation,11
institute,11
immunity,11
implication,11
efficiency,11
autism,11
since,11
toward,11
gastrointestinal,11
reduce,11
infectious,11
wildlife,11
tourism,11
threats,11
Was,11
Retrospective,11
reports,11
influences,11
project,11
business,11
emotions,11
hazard,11
citizen,11
presenting,11
transport,11
sports,11
Enhanced,11
Milan,11
heavy,11
uncertainty,11
Bengal,11
private,11
movement,11
Nigerian,11
transparency,11
Brasil,11
prevent,11
method,11
meta-analysis,11
structural,11
scoping,11
phone,11
Management,11
Household,11
central,11
socio-demographic,10
alone,10
seasonal,10
political,10
week,10
normality,10
Quality,10
pregnancy,10
hospitalizations,10
consultation,10
trace,10
childhood,10
changed,10
Positive,10
district,10
Return,10
Spatial,10
reproductive,10
Spatio-temporal,10
shopping,10
Determinants,10
Activity,10
circulation,10
Iraq,10
crime,10
key,10
mandatory,10
systems,10
Disease,10
staying,10
tobacco,10
were,10
Diet,10
Parental,10
Punjab,10
attitude,10
resources,10
Dhaka,10
poverty,10
Hubei,10
migration,10
disability,10
le,10
pharmacy,10
north,10
21,10
migraine,10
western,10
opinion,10
abortion,10
issue,10
National,10
After,10
evaluating,10
acceptance,10
metals,10
fitness,10
Correction,10
affecting,10
infected,10
correlates,10
Use,10
machine,10
Danish,10
cannabis,10
spectrum,10
health-related,10
room,10
practitioners,10
CO2,10
monocentric,10
biologic,10
imposed,10
taking,10
job,10
free,10
Norway,10
chemistry,10
society,10
sustainable,10
supply,10
Caring,10
full,10
psychology,10
intimate,10
Type,10
stigma,10
diagnostic,10
inactivity,10
ease,10
Negative,10
reflection,10
this,10
carers,10
knowledge,10
ocular,10
death,10
Adolescents,10
peer,10
closures,10
value,10
Towards,10
intellectual,10
America,10
there,10
disparities,10
loss,10
centres,10
Portugal,10
Living,10
literature,10
single-centre,10
good,10
surge,10
Greater,10
restriction,9
insomnia,9
perinatal,9
migrant,9
self-harm,9
Suicide,9
births,9
pathology,9
múltiple,9
Centre,9
characterization,9
esclerosis,9
five,9
stay,9
reaction,9
diversity,9
contribution,9
Changing,9
structure,9
frequency,9
reducing,9
hard,9
retail,9
foot,9
Lombardy,9
homes,9
Rajasthan,9
stage,9
decision,9
Metropolitan,9
numbers,9
interaction,9
cost,9
curve,9
Identifying,9
complex,9
essential,9
Level,9
Care,9
parenting,9
consumers,9
climate,9
mixed,9
when,9
open,9
Loneliness,9
collaborative,9
lower,9
regression,9
gambling,9
view,9
Aotearoa,9
me,9
single-center,9
day,9
les,9
classes,9
pressure,9
previous,9
causes,9
expected,9
Preliminary,9
workload,9
light,9
childcare,9
facing,9
upon,9
ophthalmology,9
mediating,9
just,9
audit,9
resurgence,9
sanitary,9
traumatology,9
worse,9
Ontario,9
Safety,9
pandemics,9
Parkinson,9
road,9
inequality,9
Decreased,9
Province,9
measurements,9
radiation,9
Adaptation,9
threat,9
pacientes,9
période,9
Education,9
should,9
du,9
Asthma,9
Switzerland,9
Weight,9
provinces,9
Attitudes,9
controlled,9
und,9
skin,9
feeding,9
purchases,9
Twitter,9
Cardiac,9
complaints,9
duration,9
predictive,9
muscle,9
Town,9
guidelines,9
Short-term,9
hospitals,9
Transmission,9
Tracking,9
optical,9
nervosa,9
epicenter,9
industry,8
improve,8
referrals,8
presence,8
Re-opening,8
rehabilitation,8
planning,8
significance,8
Prolonged,8
Reduced,8
2nd,8
Socio-demographic,8
Stress,8
post-traumatic,8
reveals,8
drug,8
groundwater,8
aspects,8
modified,8
post-COVID-19,8
Disorder,8
quantification,8
metabolic,8
Machine,8
fatigue,8
ophthalmologists,8
brain,8
institutions,8
To,8
Polish,8
detachment,8
Ganga,8
bad,8
predicting,8
nexus,8
progressive,8
non-COVID-19,8
Obesity,8
weather,8
both,8
discourse,8
CoViD-19,8
cohorts,8
morbidity,8
round,8
conducted,8
clinics,8
data-driven,8
withdrawal,8
pulmonary,8
bubbles,8
Research,8
Can,8
narrative,8
apportionment,8
Early,8
feelings,8
Pradesh,8
Predicting,8
compared,8
Teaching,8
complications,8
COVID-related,8
attendance,8
moderating,8
Black,8
deprivation,8
Clinical,8
Center,8
vehicle,8
February,8
determinants,8
trial,8
haze,8
undergraduates,8
oxidation,8
explain,8
Were,8
subjects,8
reference,8
sustained,8
monitored,8
common,8
neonatal,8
order,8
Perception,8
beyond,8
allergy,8
eastern,8
Plain,8
clinic,8
Statistical,8
Imprints,8
nursing,8
concern,8
italian,8
drinkers,8
urgent,8
combined,8
resource,8
quantitative,8
First,8
diaries,8
self-isolation,8
attempts,8
Editorial,8
collective,8
allergic,8
initiation,8
abuse,8
residential,8
propagation,8
Access,8
Victoria,8
worldwide,8
police,8
nature,8
registered,8
productivity,8
identify,8
cuarentena,8
correlation,8
psychopathology,8
Period,8
functional,8
contain,8
protection,8
Arab,8
infants,8
monitor,8
Epidemiology,8
Egypt,8
impairment,8
buildings,8
story,8
rhythms,8
Spatiotemporal,8
rhythm,8
French-speaking,8
convenience,8
far,8
High,8
rise,8
successful,8
together,8
municipal,8
controls,8
style,8
operations,8
agriculture,8
Monitoring,8
Urban,8
Facing,8
regulations,8
Patients,7
mitigating,7
power,7
Carbon,7
reflections,7
primer,7
Economic,7
BMI,7
intravitreal,7
burn,7
ecosystem,7
my,7
safety,7
female,7
spaces,7
Singapore,7
investigate,7
space,7
diagnosed,7
Increase,7
Cohort,7
homeschooling,7
occupational,7
classroom,7
Analyzing,7
search,7
challenge,7
face-to-face,7
-19,7
liaison,7
Catalonia,7
herd,7
melanoma,7
sex,7
linked,7
governance,7
Who,7
creativity,7
e-learning,7
Unit,7
Problematic,7
your,7
occurrence,7
sub-Saharan,7
Estados,7
Indo-Gangetic,7
modifications,7
sport,7
relative,7
cycles,7
Case,7
internal,7
Auckland,7
Northwest,7
maternity,7
night,7
employees,7
para,7
agosto,7
tools,7
agricultural,7
Unidos,7
interview,7
ground-based,7
collected,7
Simplified,7
alternative,7
SO2,7
non-pharmaceutical,7
retinal,7
including,7
community-based,7
cumulative,7
tracing,7
Adherence,7
Delayed,7
regime,7
Facebook,7
medication,7
basin,7
well‐being,7
pharmacists,7
pre-COVID,7
«,7
content,7
postlockdown,7
technologies,7
SARS-COV-2,7
craving,7
ecológico,7
collisions,7
artificial,7
fatal,7
normal,7
practitioner,7
workplace,7
asthmatic,7
tipo,7
gases,7
building,7
Rwanda,7
cluster,7
window,7
indications,7
cooking,7
persuaded,7
Maternal,7
Family,7
school-age,7
Patient,7
overcome,7
generalized,7
Seroprevalence,7
transmissions,7
Reflections,7
Stay,7
rheumatic,7
exacerbations,7
altered,7
gap,7
housing,7
Tamil,7
couples,7
intelligent,7
had,7
Stock,7
compassion,7
In,7
Norwegian,7
facial,7
along,7
flexibility,7
undergoing,7
live,7
spreading,7
peak,7
appendicitis,7
amongst,7
cross-national,7
past,7
resumption,7
antenatal,7
seeking,7
contacts,7
mining,7
Major,7
identification,7
mixed-methods,7
referred,7
aged,7
highly,7
Could,7
simulations,7
drivers,7
Post,7
panel,7
birds,7
Analysing,7
belt,7
Dentistry,7
simulation,7
those,7
capacity,7
disease-19,7
representations,7
declines,7
background,7
40,7
Will,7
comparing,7
beliefs,7
investigating,7
discrimination,7
March-May,7
Media,7
pump,7
circadian,7
diagnoses,7
Medidas,7
play,7
Disentangling,7
worsening,7
love,7
Toward,7
Digital,7
considering,7
laboratory,7
Rehabilitation,7
agglomerations,7
kidney,7
scientists,7
difference,7
ED,7
Malaysian,7
sessions,7
production,7
conservation,7
motives,7
searches,7
arrhythmic,7
twelve,7
Efficacy,7
platform,7
Dynamic,7
Malaysia,7
Epilepsy,7
surgeons,7
inventory,7
PTSD,7
#,7
class,6
treated,6
quit,6
forecast,6
experimental,6
metropolis,6
last,6
Demographics,6
Primary,6
lockdown-a,6
recipients,6
problem,6
chest,6
August,6
containing,6
policymaking,6
Sociodemographic,6
Nationwide,6
soccer,6
attributable,6
flow,6
stringency,6
gas,6
randomized,6
big,6
surgeries,6
arrangements,6
Compliance,6
Vietnam,6
psychiatry,6
Awareness,6
O,6
Easing,6
next,6
telephone,6
microbial,6
preprint,6
Satisfaction,6
predicted,6
Obstacles,6
unexpected,6
dynamic,6
Temporal,6
faculty,6
ethics,6
initiatives,6
chains,6
metro,6
multi-country,6
Legionella,6
distal,6
surveys,6
Hangzhou,6
tweets,6
breast,6
Mum,6
Rio,6
vertical,6
pre-,6
photochemical,6
male,6
Surveillance,6
overlapping,6
voices,6
Les,6
chronotype,6
MSM,6
peritraumatic,6
delay,6
transit,6
limb,6
throughout,6
ugly,6
Decision,6
mediate,6
Quantitative,6
shift,6
reveal,6
caring,6
unusual,6
researchers,6
awaiting,6
Acute,6
Forecasting,6
annual,6
zone,6
equation,6
COVID-lockdown,6
Strategies,6
projections,6
particle,6
im,6
suicidality,6
condition,6
Novel,6
applications,6
closure,6
disease-2019,6
assessments,6
Higher,6
Cities,6
result,6
Infection,6
nutrition,6
observation,6
foster,6
compositions,6
sensors,6
cross-cultural,6
obstructive,6
SEIR,6
harmful,6
während,6
intensity,6
REACT-1,6
criteria,6
history,6
record,6
return,6
Impacto,6
mixing,6
process,6
2020/,6
recreational,6
Population,6
dreams,6
home-based,6
Technology,6
dengue,6
non-lockdown,6
self-management,6
winter,6
cardiometabolic,6
Indoor,6
Future,6
Differences,6
baseline,6
position,6
price,6
Characteristics,6
Festival,6
ranking,6
Campania,6
Subjective,6
Maison,6
device,6
unlocking,6
nurses,6
Posttraumatic,6
eyes,6
Irish,6
volatile,6
spatiotemporal,6
third,6
provide,6
Paulo,6
ways,6
Service,6
why,6
Zealanders,6
boundary,6
premature,6
8,6
virology,6
Ambient,6
entre,6
vitamin,6
Barcelona,6
Gujarat,6
orthopedic,6
Mobile,6
largely,6
final,6
fossil,6
literacy,6
stress-related,6
shallow,6
pre-existing,6
operation,6
resolution,6
cystic,6
RNA,6
momentary,6
scale,6
cross‐sectional,6
preschool,6
soundscape,6
visit,6
enfants,6
SARS‐CoV‐2,6
Mexican,6
Making,6
greater,6
Unexpected,6
Work,6
liver,6
development,6
»,6
compounds,6
transplantation,6
caseload,6
Romagna,6
June,6
dimensions,6
because,6
climatic,6
viruses,6
Generalized,6
deliberate,6
stuck,6
externalities,6
acid,6
San,6
responsibilities,6
dysfunctional,6
Part,6
Mediterranean,6
office,6
influencing,6
Prior,6
2019-20,6
oncological,6
Tracer-based,6
combat,6
middle,6
Xi'an,6
missing,6
programme,6
Testing,6
facilities,6
intentional,6
bipolar,6
habit,6
Italians,6
rheumatology,6
vs,6
allowing,6
technological,6
networking,6
plan,6
syncope,6
Surgery,6
brief,6
programs,6
aggression,6
psychotic,6
COVID‑19,6
macroeconomic,6
collaboration,6
multi-centre,6
operative,6
drugs,6
re-opening,6
disruption,6
Born,6
gaming,6
Model,6
gastrectomy,6
diffusion,6
left,6
Bradford,6
Mumbai,6
stressors,6
rights,6
adopt,6
Tertiary,6
Lucknow,6
typical,6
Lifting,6
Exploratory,6
maintaining,6
problematic,6
somatic,6
pornography,6
vicarious,6
therapies,6
selective,6
purchasing,6
Prediction,6
countrywide,6
Scale,6
estimates,5
fuzzy,5
northeast,5
hotspots,5
anatomy,5
safely,5
Suicidal,5
shortage,5
going,5
COVID-19-lockdown,5
palliative,5
nonparametric,5
São,5
protects,5
adaptability,5
financial,5
proposal,5
Demographic,5
Mass,5
Moroccan,5
low-cost,5
work-related,5
rules,5
current,5
Influencia,5
Psycho-social,5
being,5
telehealth,5
Dataset,5
flash,5
Decline,5
Self-harm,5
ICU,5
Gauteng,5
Cancer,5
statistical,5
remedies,5
de-escalation,5
adapted,5
protecting,5
Island,5
Un,5
Perceptions,5
sweet,5
Inferring,5
already,5
Dental,5
fall,5
restarting,5
Seismic,5
stay-at-home,5
activism,5
economy-perspective,5
epidemics,5
solar,5
contributed,5
recreation,5
high-frequency,5
phase-wise,5
Behavioral,5
lab,5
sobre,5
phase-1,5
medicine,5
location,5
feedback,5
inpatient,5
marketing,5
pets,5
Carlos,5
specialist,5
comprehensive,5
Where,5
Hanoi,5
Which,5
Bariloche,5
Birmingham,5
communicator,5
Estimation,5
Nanjing,5
Going,5
removal,5
Emirates,5
variant,5
precision,5
COINLICS,5
dust,5
mapping,5
accidents,5
puberty,5
happened,5
14,5
Back,5
HIV,5
behind,5
gender-based,5
learn,5
boredom,5
pre-monsoon,5
lightning,5
Screen,5
lung,5
localized,5
Consensus,5
saved,5
globe,5
banking,5
Diurnal,5
immune,5
Himalaya,5
protein,5
fragility,5
corresponding,5
employment,5
diverse,5
GNSS,5
venues,5
disordered,5
Chennai,5
head,5
educators,5
choice,5
endoscopy,5
flatten,5
network-based,5
outside,5
costs,5
unprecedented,5
navigation,5
antibodies,5
eased,5
restrictive,5
mitigations,5
Sustaining,5
measured,5
bodies,5
Road,5
salud,5
wholesalers,5
Meaningful,5
thermal,5
comfort,5
Virtual,5
art,5
focus,5
conflict,5
Ugandan,5
doctors,5
optimism,5
all,5
Distance,5
Russia,5
division,5
arts,5
newspaper,5
Epidemic,5
us,5
maternal,5
Yoga,5
Wearing,5
covering,5
counselling,5
small,5
disturbance,5
Young,5
Lives,5
una,5
Real-life,5
Secondary,5
Assam,5
sales,5
Alzheimer,5
point,5
insulin,5
Application,5
preventing,5
returns,5
teleophthalmology,5
wine,5
Empirical,5
farmers,5
reported,5
ban,5
transformation,5
residing,5
Covid-19-related,5
theatre,5
length,5
Indonesia,5
balancing,5
act,5
thematic,5
bleeding,5
Responses,5
villages,5
led,5
hydrocarbons,5
hyperactivity/inattention,5
aromatic,5
polycyclic,5
Profile,5
Substantial,5
voluntary,5
provision,5
elite,5
Contact,5
endurance,5
interpretation,5
resultados,5
list,5
Venice,5
Pattern,5
news,5
anorexia,5
religious,5
Activities,5
Group,5
9,5
der,5
auf,5
invasive,5
Lockdowns,5
Birth,5
homelessness,5
serious,5
Karachi,5
nonintentional,5
markets,5
Lagos,5
psoriatic,5
600,5
much,5
forced,5
environments,5
satellite-based,5
Lived,5
Christchurch,5
volumes,5
Britain,5
smokers,5
American,5
nationally,5
identity,5
indoor,5
Ahmedabad,5
adaptation,5
vision,5
recent,5
repeated,5
Nadu,5
partition,5
multiplex,5
sitting,5
neurodevelopmental,5
via,5
Remotely,5
wearing,5
Improvement,5
Finland,5
panic,5
significant,5
pendant,5
real-time,5
Pre-,5
feel,5
addiction,5
examination,5
Asymptomatic,5
SMEs,5
Nigerians,5
symptom,5
intention,5
survey-based,5
smartphone,5
n't,5
Human,5
traits,5
estudio,5
motivations,5
acoustic,5
Mapping,5
neurocognitive,5
soundscapes,5
any,5
hypertension,5
shock,5
Practices,5
ENT,5
multi-group,5
resulted,5
Japanese,5
transportation,5
passage,5
database,5
indian,5
properties,5
Republic,5
Postlockdown,5
*,5
intelligence,5
platforms,5
brand,5
Kanpur,5
radiative,5
Heterogeneous,5
Dietary,5
cognitions,5
theory,5
help,5
relaxing,5
consequence,5
which,5
Cleaning,5
Adverse,5
barriers,5
rejuvenation,5
Janeiro,5
balance,5
layer,5
nation,5
hospitalization,5
Mellitus,5
Rates,5
employee,5
ownership,5
illness,5
gestational,5
side,5
postgraduate,5
self-efficacy,5
intercourse,5
Trajectories,5
las,5
Resumption,5
types,5
Concerns,5
Altered,5
deal,5
follow‐up,5
susceptible,5
34,5
schizophrenia,5
algorithm,5
100,5
labour,5
